home_team,away_team,home_goals,away_goals,result,season
Burnley FC,Manchester City FC,0.0,3.0,A,2023/2024
Arsenal FC,Nottingham Forest FC,2.0,1.0,H,2023/2024
AFC Bournemouth,West Ham United FC,1.0,1.0,D,2023/2024
Brighton & Hove Albion FC,Luton Town FC,4.0,1.0,H,2023/2024
Everton FC,Fulham FC,0.0,1.0,A,2023/2024
Sheffield United FC,Crystal Palace FC,0.0,1.0,A,2023/2024
Newcastle United FC,Aston Villa FC,5.0,1.0,H,2023/2024
Brentford FC,Tottenham Hotspur FC,2.0,2.0,D,2023/2024
Chelsea FC,Liverpool FC,1.0,1.0,D,2023/2024
Manchester United FC,Wolverhampton Wanderers FC,1.0,0.0,H,2023/2024
Nottingham Forest FC,Sheffield United FC,2.0,1.0,H,2023/2024
Fulham FC,Brentford FC,0.0,3.0,A,2023/2024
Liverpool FC,AFC Bournemouth,3.0,1.0,H,2023/2024
Wolverhampton Wanderers FC,Brighton & Hove Albion FC,1.0,4.0,A,2023/2024
Tottenham Hotspur FC,Manchester United FC,2.0,0.0,H,2023/2024
Manchester City FC,Newcastle United FC,1.0,0.0,H,2023/2024
Aston Villa FC,Everton FC,4.0,0.0,H,2023/2024
West Ham United FC,Chelsea FC,3.0,1.0,H,2023/2024
Crystal Palace FC,Arsenal FC,0.0,1.0,A,2023/2024
Chelsea FC,Luton Town FC,3.0,0.0,H,2023/2024
AFC Bournemouth,Tottenham Hotspur FC,0.0,2.0,A,2023/2024
Everton FC,Wolverhampton Wanderers FC,0.0,1.0,A,2023/2024
Manchester United FC,Nottingham Forest FC,3.0,2.0,H,2023/2024
Arsenal FC,Fulham FC,2.0,2.0,D,2023/2024
Brentford FC,Crystal Palace FC,1.0,1.0,D,2023/2024
Brighton & Hove Albion FC,West Ham United FC,1.0,3.0,A,2023/2024
Sheffield United FC,Manchester City FC,1.0,2.0,A,2023/2024
Burnley FC,Aston Villa FC,1.0,3.0,A,2023/2024
Newcastle United FC,Liverpool FC,1.0,2.0,A,2023/2024
Luton Town FC,West Ham United FC,1.0,2.0,A,2023/2024
Sheffield United FC,Everton FC,2.0,2.0,D,2023/2024
Brentford FC,AFC Bournemouth,2.0,2.0,D,2023/2024
Burnley FC,Tottenham Hotspur FC,2.0,5.0,A,2023/2024
Chelsea FC,Nottingham Forest FC,0.0,1.0,A,2023/2024
Manchester City FC,Fulham FC,5.0,1.0,H,2023/2024
Brighton & Hove Albion FC,Newcastle United FC,3.0,1.0,H,2023/2024
Crystal Palace FC,Wolverhampton Wanderers FC,3.0,2.0,H,2023/2024
Liverpool FC,Aston Villa FC,3.0,0.0,H,2023/2024
Arsenal FC,Manchester United FC,3.0,1.0,H,2023/2024
Wolverhampton Wanderers FC,Liverpool FC,1.0,3.0,A,2023/2024
Aston Villa FC,Crystal Palace FC,3.0,1.0,H,2023/2024
Fulham FC,Luton Town FC,1.0,0.0,H,2023/2024
Manchester United FC,Brighton & Hove Albion FC,1.0,3.0,A,2023/2024
Tottenham Hotspur FC,Sheffield United FC,2.0,1.0,H,2023/2024
West Ham United FC,Manchester City FC,1.0,3.0,A,2023/2024
Newcastle United FC,Brentford FC,1.0,0.0,H,2023/2024
AFC Bournemouth,Chelsea FC,0.0,0.0,D,2023/2024
Everton FC,Arsenal FC,0.0,1.0,A,2023/2024
Nottingham Forest FC,Burnley FC,1.0,1.0,D,2023/2024
Crystal Palace FC,Fulham FC,0.0,0.0,D,2023/2024
Luton Town FC,Wolverhampton Wanderers FC,1.0,1.0,D,2023/2024
Manchester City FC,Nottingham Forest FC,2.0,0.0,H,2023/2024
Brentford FC,Everton FC,1.0,3.0,A,2023/2024
Burnley FC,Manchester United FC,0.0,1.0,A,2023/2024
Arsenal FC,Tottenham Hotspur FC,2.0,2.0,D,2023/2024
Brighton & Hove Albion FC,AFC Bournemouth,3.0,1.0,H,2023/2024
Chelsea FC,Aston Villa FC,0.0,1.0,A,2023/2024
Liverpool FC,West Ham United FC,3.0,1.0,H,2023/2024
Sheffield United FC,Newcastle United FC,0.0,8.0,A,2023/2024
Aston Villa FC,Brighton & Hove Albion FC,6.0,1.0,H,2023/2024
AFC Bournemouth,Arsenal FC,0.0,4.0,A,2023/2024
Everton FC,Luton Town FC,1.0,2.0,A,2023/2024
Manchester United FC,Crystal Palace FC,0.0,1.0,A,2023/2024
Newcastle United FC,Burnley FC,2.0,0.0,H,2023/2024
West Ham United FC,Sheffield United FC,2.0,0.0,H,2023/2024
Wolverhampton Wanderers FC,Manchester City FC,2.0,1.0,H,2023/2024
Tottenham Hotspur FC,Liverpool FC,2.0,1.0,H,2023/2024
Nottingham Forest FC,Brentford FC,1.0,1.0,D,2023/2024
Fulham FC,Chelsea FC,0.0,2.0,A,2023/2024
Luton Town FC,Burnley FC,1.0,2.0,A,2023/2024
Luton Town FC,Tottenham Hotspur FC,0.0,1.0,A,2023/2024
Burnley FC,Chelsea FC,1.0,4.0,A,2023/2024
Everton FC,AFC Bournemouth,3.0,0.0,H,2023/2024
Fulham FC,Sheffield United FC,3.0,1.0,H,2023/2024
Manchester United FC,Brentford FC,2.0,1.0,H,2023/2024
Crystal Palace FC,Nottingham Forest FC,0.0,0.0,D,2023/2024
Brighton & Hove Albion FC,Liverpool FC,2.0,2.0,D,2023/2024
West Ham United FC,Newcastle United FC,2.0,2.0,D,2023/2024
Wolverhampton Wanderers FC,Aston Villa FC,1.0,1.0,D,2023/2024
Arsenal FC,Manchester City FC,1.0,0.0,H,2023/2024
Liverpool FC,Everton FC,2.0,0.0,H,2023/2024
AFC Bournemouth,Wolverhampton Wanderers FC,1.0,2.0,A,2023/2024
Brentford FC,Burnley FC,3.0,0.0,H,2023/2024
Manchester City FC,Brighton & Hove Albion FC,2.0,1.0,H,2023/2024
Newcastle United FC,Crystal Palace FC,4.0,0.0,H,2023/2024
Nottingham Forest FC,Luton Town FC,2.0,2.0,D,2023/2024
Chelsea FC,Arsenal FC,2.0,2.0,D,2023/2024
Sheffield United FC,Manchester United FC,1.0,2.0,A,2023/2024
Aston Villa FC,West Ham United FC,4.0,1.0,H,2023/2024
Tottenham Hotspur FC,Fulham FC,2.0,0.0,H,2023/2024
Crystal Palace FC,Tottenham Hotspur FC,1.0,2.0,A,2023/2024
Chelsea FC,Brentford FC,0.0,2.0,A,2023/2024
AFC Bournemouth,Burnley FC,2.0,1.0,H,2023/2024
Arsenal FC,Sheffield United FC,5.0,0.0,H,2023/2024
Wolverhampton Wanderers FC,Newcastle United FC,2.0,2.0,D,2023/2024
West Ham United FC,Everton FC,0.0,1.0,A,2023/2024
Aston Villa FC,Luton Town FC,3.0,1.0,H,2023/2024
Brighton & Hove Albion FC,Fulham FC,1.0,1.0,D,2023/2024
Liverpool FC,Nottingham Forest FC,3.0,0.0,H,2023/2024
Manchester United FC,Manchester City FC,0.0,3.0,A,2023/2024
Fulham FC,Manchester United FC,0.0,1.0,A,2023/2024
Brentford FC,West Ham United FC,3.0,2.0,H,2023/2024
Burnley FC,Crystal Palace FC,0.0,2.0,A,2023/2024
Everton FC,Brighton & Hove Albion FC,1.0,1.0,D,2023/2024
Manchester City FC,AFC Bournemouth,6.0,1.0,H,2023/2024
Sheffield United FC,Wolverhampton Wanderers FC,2.0,1.0,H,2023/2024
Newcastle United FC,Arsenal FC,1.0,0.0,H,2023/2024
Nottingham Forest FC,Aston Villa FC,2.0,0.0,H,2023/2024
Luton Town FC,Liverpool FC,1.0,1.0,D,2023/2024
Tottenham Hotspur FC,Chelsea FC,1.0,4.0,A,2023/2024
Wolverhampton Wanderers FC,Tottenham Hotspur FC,2.0,1.0,H,2023/2024
Arsenal FC,Burnley FC,3.0,1.0,H,2023/2024
Crystal Palace FC,Everton FC,2.0,3.0,A,2023/2024
Manchester United FC,Luton Town FC,1.0,0.0,H,2023/2024
AFC Bournemouth,Newcastle United FC,2.0,0.0,H,2023/2024
Aston Villa FC,Fulham FC,3.0,1.0,H,2023/2024
Brighton & Hove Albion FC,Sheffield United FC,1.0,1.0,D,2023/2024
Liverpool FC,Brentford FC,3.0,0.0,H,2023/2024
West Ham United FC,Nottingham Forest FC,3.0,2.0,H,2023/2024
Chelsea FC,Manchester City FC,4.0,4.0,D,2023/2024
Manchester City FC,Liverpool FC,1.0,1.0,D,2023/2024
Burnley FC,West Ham United FC,1.0,2.0,A,2023/2024
Luton Town FC,Crystal Palace FC,2.0,1.0,H,2023/2024
Newcastle United FC,Chelsea FC,4.0,1.0,H,2023/2024
Nottingham Forest FC,Brighton & Hove Albion FC,2.0,3.0,A,2023/2024
Sheffield United FC,AFC Bournemouth,1.0,3.0,A,2023/2024
Brentford FC,Arsenal FC,0.0,1.0,A,2023/2024
Tottenham Hotspur FC,Aston Villa FC,1.0,2.0,A,2023/2024
Everton FC,Manchester United FC,0.0,3.0,A,2023/2024
Fulham FC,Wolverhampton Wanderers FC,3.0,2.0,H,2023/2024
Arsenal FC,Wolverhampton Wanderers FC,2.0,1.0,H,2023/2024
Brentford FC,Luton Town FC,3.0,1.0,H,2023/2024
Burnley FC,Sheffield United FC,5.0,0.0,H,2023/2024
Nottingham Forest FC,Everton FC,0.0,1.0,A,2023/2024
Newcastle United FC,Manchester United FC,1.0,0.0,H,2023/2024
AFC Bournemouth,Aston Villa FC,2.0,2.0,D,2023/2024
Chelsea FC,Brighton & Hove Albion FC,3.0,2.0,H,2023/2024
Liverpool FC,Fulham FC,4.0,3.0,H,2023/2024
West Ham United FC,Crystal Palace FC,1.0,1.0,D,2023/2024
Manchester City FC,Tottenham Hotspur FC,3.0,3.0,D,2023/2024
Wolverhampton Wanderers FC,Burnley FC,1.0,0.0,H,2023/2024
Luton Town FC,Arsenal FC,3.0,4.0,A,2023/2024
Brighton & Hove Albion FC,Brentford FC,2.0,1.0,H,2023/2024
Fulham FC,Nottingham Forest FC,5.0,0.0,H,2023/2024
Sheffield United FC,Liverpool FC,0.0,2.0,A,2023/2024
Crystal Palace FC,AFC Bournemouth,0.0,2.0,A,2023/2024
Aston Villa FC,Manchester City FC,1.0,0.0,H,2023/2024
Manchester United FC,Chelsea FC,2.0,1.0,H,2023/2024
Everton FC,Newcastle United FC,3.0,0.0,H,2023/2024
Tottenham Hotspur FC,West Ham United FC,1.0,2.0,A,2023/2024
Crystal Palace FC,Liverpool FC,1.0,2.0,A,2023/2024
Brighton & Hove Albion FC,Burnley FC,1.0,1.0,D,2023/2024
Manchester United FC,AFC Bournemouth,0.0,3.0,A,2023/2024
Sheffield United FC,Brentford FC,1.0,0.0,H,2023/2024
Wolverhampton Wanderers FC,Nottingham Forest FC,1.0,1.0,D,2023/2024
Aston Villa FC,Arsenal FC,1.0,0.0,H,2023/2024
Everton FC,Chelsea FC,2.0,0.0,H,2023/2024
Fulham FC,West Ham United FC,5.0,0.0,H,2023/2024
Luton Town FC,Manchester City FC,1.0,2.0,A,2023/2024
Tottenham Hotspur FC,Newcastle United FC,4.0,1.0,H,2023/2024
Nottingham Forest FC,Tottenham Hotspur FC,0.0,2.0,A,2023/2024
Chelsea FC,Sheffield United FC,2.0,0.0,H,2023/2024
Manchester City FC,Crystal Palace FC,2.0,2.0,D,2023/2024
Newcastle United FC,Fulham FC,3.0,0.0,H,2023/2024
Burnley FC,Everton FC,0.0,2.0,A,2023/2024
Arsenal FC,Brighton & Hove Albion FC,2.0,0.0,H,2023/2024
Brentford FC,Aston Villa FC,1.0,2.0,A,2023/2024
West Ham United FC,Wolverhampton Wanderers FC,3.0,0.0,H,2023/2024
Liverpool FC,Manchester United FC,0.0,0.0,D,2023/2024
Crystal Palace FC,Brighton & Hove Albion FC,1.0,1.0,D,2023/2024
Aston Villa FC,Sheffield United FC,1.0,1.0,D,2023/2024
West Ham United FC,Manchester United FC,2.0,0.0,H,2023/2024
Fulham FC,Burnley FC,0.0,2.0,A,2023/2024
Luton Town FC,Newcastle United FC,1.0,0.0,H,2023/2024
Nottingham Forest FC,AFC Bournemouth,2.0,3.0,A,2023/2024
Tottenham Hotspur FC,Everton FC,2.0,1.0,H,2023/2024
Liverpool FC,Arsenal FC,1.0,1.0,D,2023/2024
Wolverhampton Wanderers FC,Chelsea FC,2.0,1.0,H,2023/2024
Newcastle United FC,Nottingham Forest FC,1.0,3.0,A,2023/2024
AFC Bournemouth,Fulham FC,3.0,0.0,H,2023/2024
Sheffield United FC,Luton Town FC,2.0,3.0,A,2023/2024
Burnley FC,Liverpool FC,0.0,2.0,A,2023/2024
Manchester United FC,Aston Villa FC,3.0,2.0,H,2023/2024
Brentford FC,Wolverhampton Wanderers FC,1.0,4.0,A,2023/2024
Chelsea FC,Crystal Palace FC,2.0,1.0,H,2023/2024
Everton FC,Manchester City FC,1.0,3.0,A,2023/2024
Brighton & Hove Albion FC,Tottenham Hotspur FC,4.0,2.0,H,2023/2024
Arsenal FC,West Ham United FC,0.0,2.0,A,2023/2024
Luton Town FC,Chelsea FC,2.0,3.0,A,2023/2024
Aston Villa FC,Burnley FC,3.0,2.0,H,2023/2024
Crystal Palace FC,Brentford FC,3.0,1.0,H,2023/2024
Manchester City FC,Sheffield United FC,2.0,0.0,H,2023/2024
Wolverhampton Wanderers FC,Everton FC,3.0,0.0,H,2023/2024
Nottingham Forest FC,Manchester United FC,2.0,1.0,H,2023/2024
Fulham FC,Arsenal FC,2.0,1.0,H,2023/2024
Tottenham Hotspur FC,AFC Bournemouth,3.0,1.0,H,2023/2024
Liverpool FC,Newcastle United FC,4.0,2.0,H,2023/2024
West Ham United FC,Brighton & Hove Albion FC,0.0,0.0,D,2023/2024
Burnley FC,Luton Town FC,1.0,1.0,D,2023/2024
Chelsea FC,Fulham FC,1.0,0.0,H,2023/2024
Newcastle United FC,Manchester City FC,2.0,3.0,A,2023/2024
Everton FC,Aston Villa FC,0.0,0.0,D,2023/2024
Manchester United FC,Tottenham Hotspur FC,2.0,2.0,D,2023/2024
Arsenal FC,Crystal Palace FC,5.0,0.0,H,2023/2024
Brentford FC,Nottingham Forest FC,3.0,2.0,H,2023/2024
Sheffield United FC,West Ham United FC,2.0,2.0,D,2023/2024
AFC Bournemouth,Liverpool FC,0.0,4.0,A,2023/2024
Brighton & Hove Albion FC,Wolverhampton Wanderers FC,0.0,0.0,D,2023/2024
Nottingham Forest FC,Arsenal FC,1.0,2.0,A,2023/2024
Luton Town FC,Brighton & Hove Albion FC,4.0,0.0,H,2023/2024
Fulham FC,Everton FC,0.0,0.0,D,2023/2024
Crystal Palace FC,Sheffield United FC,3.0,2.0,H,2023/2024
Aston Villa FC,Newcastle United FC,1.0,3.0,A,2023/2024
Tottenham Hotspur FC,Brentford FC,3.0,2.0,H,2023/2024
Manchester City FC,Burnley FC,3.0,1.0,H,2023/2024
Liverpool FC,Chelsea FC,4.0,1.0,H,2023/2024
West Ham United FC,AFC Bournemouth,1.0,1.0,D,2023/2024
Wolverhampton Wanderers FC,Manchester United FC,3.0,4.0,A,2023/2024
Everton FC,Tottenham Hotspur FC,2.0,2.0,D,2023/2024
Brighton & Hove Albion FC,Crystal Palace FC,4.0,1.0,H,2023/2024
Burnley FC,Fulham FC,2.0,2.0,D,2023/2024
Newcastle United FC,Luton Town FC,4.0,4.0,D,2023/2024
Sheffield United FC,Aston Villa FC,0.0,5.0,A,2023/2024
AFC Bournemouth,Nottingham Forest FC,1.0,1.0,D,2023/2024
Chelsea FC,Wolverhampton Wanderers FC,2.0,4.0,A,2023/2024
Manchester United FC,West Ham United FC,3.0,0.0,H,2023/2024
Arsenal FC,Liverpool FC,3.0,1.0,H,2023/2024
Brentford FC,Manchester City FC,1.0,3.0,A,2023/2024
Manchester City FC,Everton FC,2.0,0.0,H,2023/2024
Fulham FC,AFC Bournemouth,3.0,1.0,H,2023/2024
Liverpool FC,Burnley FC,3.0,1.0,H,2023/2024
Luton Town FC,Sheffield United FC,1.0,3.0,A,2023/2024
Tottenham Hotspur FC,Brighton & Hove Albion FC,2.0,1.0,H,2023/2024
Wolverhampton Wanderers FC,Brentford FC,0.0,2.0,A,2023/2024
Nottingham Forest FC,Newcastle United FC,2.0,3.0,A,2023/2024
West Ham United FC,Arsenal FC,0.0,6.0,A,2023/2024
Aston Villa FC,Manchester United FC,1.0,2.0,A,2023/2024
Crystal Palace FC,Chelsea FC,1.0,3.0,A,2023/2024
Brentford FC,Liverpool FC,1.0,4.0,A,2023/2024
Burnley FC,Arsenal FC,0.0,5.0,A,2023/2024
Fulham FC,Aston Villa FC,1.0,2.0,A,2023/2024
Newcastle United FC,AFC Bournemouth,2.0,2.0,D,2023/2024
Nottingham Forest FC,West Ham United FC,2.0,0.0,H,2023/2024
Tottenham Hotspur FC,Wolverhampton Wanderers FC,1.0,2.0,A,2023/2024
Manchester City FC,Chelsea FC,1.0,1.0,D,2023/2024
Sheffield United FC,Brighton & Hove Albion FC,0.0,5.0,A,2023/2024
Luton Town FC,Manchester United FC,1.0,2.0,A,2023/2024
Everton FC,Crystal Palace FC,1.0,1.0,D,2023/2024
Manchester City FC,Brentford FC,1.0,0.0,H,2023/2024
Liverpool FC,Luton Town FC,4.0,1.0,H,2023/2024
Aston Villa FC,Nottingham Forest FC,4.0,2.0,H,2023/2024
Brighton & Hove Albion FC,Everton FC,1.0,1.0,D,2023/2024
Crystal Palace FC,Burnley FC,3.0,0.0,H,2023/2024
Manchester United FC,Fulham FC,1.0,2.0,A,2023/2024
AFC Bournemouth,Manchester City FC,0.0,1.0,A,2023/2024
Arsenal FC,Newcastle United FC,4.0,1.0,H,2023/2024
Wolverhampton Wanderers FC,Sheffield United FC,1.0,0.0,H,2023/2024
West Ham United FC,Brentford FC,4.0,2.0,H,2023/2024
Brentford FC,Chelsea FC,2.0,2.0,D,2023/2024
Everton FC,West Ham United FC,1.0,3.0,A,2023/2024
Fulham FC,Brighton & Hove Albion FC,3.0,0.0,H,2023/2024
Newcastle United FC,Wolverhampton Wanderers FC,3.0,0.0,H,2023/2024
Nottingham Forest FC,Liverpool FC,0.0,1.0,A,2023/2024
Tottenham Hotspur FC,Crystal Palace FC,3.0,1.0,H,2023/2024
Luton Town FC,Aston Villa FC,2.0,3.0,A,2023/2024
Burnley FC,AFC Bournemouth,0.0,2.0,A,2023/2024
Manchester City FC,Manchester United FC,3.0,1.0,H,2023/2024
Sheffield United FC,Arsenal FC,0.0,6.0,A,2023/2024
Manchester United FC,Everton FC,2.0,0.0,H,2023/2024
AFC Bournemouth,Sheffield United FC,2.0,2.0,D,2023/2024
Crystal Palace FC,Luton Town FC,1.0,1.0,D,2023/2024
Wolverhampton Wanderers FC,Fulham FC,2.0,1.0,H,2023/2024
Arsenal FC,Brentford FC,2.0,1.0,H,2023/2024
Aston Villa FC,Tottenham Hotspur FC,0.0,4.0,A,2023/2024
Brighton & Hove Albion FC,Nottingham Forest FC,1.0,0.0,H,2023/2024
West Ham United FC,Burnley FC,2.0,2.0,D,2023/2024
Liverpool FC,Manchester City FC,1.0,1.0,D,2023/2024
Chelsea FC,Newcastle United FC,3.0,2.0,H,2023/2024
AFC Bournemouth,Luton Town FC,4.0,3.0,H,2023/2024
Burnley FC,Brentford FC,2.0,1.0,H,2023/2024
Luton Town FC,Nottingham Forest FC,1.0,1.0,D,2023/2024
Fulham FC,Tottenham Hotspur FC,3.0,0.0,H,2023/2024
West Ham United FC,Aston Villa FC,1.0,1.0,D,2023/2024
Newcastle United FC,West Ham United FC,4.0,3.0,H,2023/2024
AFC Bournemouth,Everton FC,2.0,1.0,H,2023/2024
Chelsea FC,Burnley FC,2.0,2.0,D,2023/2024
Nottingham Forest FC,Crystal Palace FC,1.0,1.0,D,2023/2024
Sheffield United FC,Fulham FC,3.0,3.0,D,2023/2024
Tottenham Hotspur FC,Luton Town FC,2.0,1.0,H,2023/2024
Aston Villa FC,Wolverhampton Wanderers FC,2.0,0.0,H,2023/2024
Brentford FC,Manchester United FC,1.0,1.0,D,2023/2024
Liverpool FC,Brighton & Hove Albion FC,2.0,1.0,H,2023/2024
Manchester City FC,Arsenal FC,0.0,0.0,D,2023/2024
Nottingham Forest FC,Fulham FC,3.0,1.0,H,2023/2024
Newcastle United FC,Everton FC,1.0,1.0,D,2023/2024
AFC Bournemouth,Crystal Palace FC,1.0,0.0,H,2023/2024
Burnley FC,Wolverhampton Wanderers FC,1.0,1.0,D,2023/2024
West Ham United FC,Tottenham Hotspur FC,1.0,1.0,D,2023/2024
Arsenal FC,Luton Town FC,2.0,0.0,H,2023/2024
Brentford FC,Brighton & Hove Albion FC,0.0,0.0,D,2023/2024
Manchester City FC,Aston Villa FC,4.0,1.0,H,2023/2024
Liverpool FC,Sheffield United FC,3.0,1.0,H,2023/2024
Chelsea FC,Manchester United FC,4.0,3.0,H,2023/2024
Crystal Palace FC,Manchester City FC,2.0,4.0,A,2023/2024
Aston Villa FC,Brentford FC,3.0,3.0,D,2023/2024
Everton FC,Burnley FC,1.0,0.0,H,2023/2024
Fulham FC,Newcastle United FC,0.0,1.0,A,2023/2024
Luton Town FC,AFC Bournemouth,2.0,1.0,H,2023/2024
Wolverhampton Wanderers FC,West Ham United FC,1.0,2.0,A,2023/2024
Brighton & Hove Albion FC,Arsenal FC,0.0,3.0,A,2023/2024
Manchester United FC,Liverpool FC,2.0,2.0,D,2023/2024
Sheffield United FC,Chelsea FC,2.0,2.0,D,2023/2024
Tottenham Hotspur FC,Nottingham Forest FC,3.0,1.0,H,2023/2024
Newcastle United FC,Tottenham Hotspur FC,4.0,0.0,H,2023/2024
Brentford FC,Sheffield United FC,2.0,0.0,H,2023/2024
Burnley FC,Brighton & Hove Albion FC,1.0,1.0,D,2023/2024
Manchester City FC,Luton Town FC,5.0,1.0,H,2023/2024
Nottingham Forest FC,Wolverhampton Wanderers FC,2.0,2.0,D,2023/2024
AFC Bournemouth,Manchester United FC,2.0,2.0,D,2023/2024
Liverpool FC,Crystal Palace FC,0.0,1.0,A,2023/2024
West Ham United FC,Fulham FC,0.0,2.0,A,2023/2024
Arsenal FC,Aston Villa FC,0.0,2.0,A,2023/2024
Chelsea FC,Everton FC,6.0,0.0,H,2023/2024
Luton Town FC,Brentford FC,1.0,5.0,A,2023/2024
Sheffield United FC,Burnley FC,1.0,4.0,A,2023/2024
Wolverhampton Wanderers FC,Arsenal FC,0.0,2.0,A,2023/2024
Everton FC,Nottingham Forest FC,2.0,0.0,H,2023/2024
Aston Villa FC,AFC Bournemouth,3.0,1.0,H,2023/2024
Crystal Palace FC,West Ham United FC,5.0,2.0,H,2023/2024
Fulham FC,Liverpool FC,1.0,3.0,A,2023/2024
Arsenal FC,Chelsea FC,5.0,0.0,H,2023/2024
Wolverhampton Wanderers FC,AFC Bournemouth,0.0,1.0,A,2023/2024
Crystal Palace FC,Newcastle United FC,2.0,0.0,H,2023/2024
Everton FC,Liverpool FC,2.0,0.0,H,2023/2024
Manchester United FC,Sheffield United FC,4.0,2.0,H,2023/2024
Brighton & Hove Albion FC,Manchester City FC,0.0,4.0,A,2023/2024
West Ham United FC,Liverpool FC,2.0,2.0,D,2023/2024
Fulham FC,Crystal Palace FC,1.0,1.0,D,2023/2024
Manchester United FC,Burnley FC,1.0,1.0,D,2023/2024
Newcastle United FC,Sheffield United FC,5.0,1.0,H,2023/2024
Wolverhampton Wanderers FC,Luton Town FC,2.0,1.0,H,2023/2024
Everton FC,Brentford FC,1.0,0.0,H,2023/2024
Aston Villa FC,Chelsea FC,2.0,2.0,D,2023/2024
AFC Bournemouth,Brighton & Hove Albion FC,3.0,0.0,H,2023/2024
Tottenham Hotspur FC,Arsenal FC,2.0,3.0,A,2023/2024
Nottingham Forest FC,Manchester City FC,0.0,2.0,A,2023/2024
Chelsea FC,Tottenham Hotspur FC,2.0,0.0,H,2023/2024
Luton Town FC,Everton FC,1.0,1.0,D,2023/2024
Arsenal FC,AFC Bournemouth,3.0,0.0,H,2023/2024
Brentford FC,Fulham FC,0.0,0.0,D,2023/2024
Burnley FC,Newcastle United FC,1.0,4.0,A,2023/2024
Sheffield United FC,Nottingham Forest FC,1.0,3.0,A,2023/2024
Manchester City FC,Wolverhampton Wanderers FC,5.0,1.0,H,2023/2024
Brighton & Hove Albion FC,Aston Villa FC,1.0,0.0,H,2023/2024
Chelsea FC,West Ham United FC,5.0,0.0,H,2023/2024
Liverpool FC,Tottenham Hotspur FC,4.0,2.0,H,2023/2024
Crystal Palace FC,Manchester United FC,4.0,0.0,H,2023/2024
Fulham FC,Manchester City FC,0.0,4.0,A,2023/2024
AFC Bournemouth,Brentford FC,1.0,2.0,A,2023/2024
Everton FC,Sheffield United FC,1.0,0.0,H,2023/2024
Newcastle United FC,Brighton & Hove Albion FC,1.0,1.0,D,2023/2024
Tottenham Hotspur FC,Burnley FC,2.0,1.0,H,2023/2024
West Ham United FC,Luton Town FC,3.0,1.0,H,2023/2024
Wolverhampton Wanderers FC,Crystal Palace FC,1.0,3.0,A,2023/2024
